date,date,unit_sales,dayofweek,is_weekend,year_month
2013-01-02,2013-01-02,582.0,2,False,2013-01
2013-01-03,2013-01-03,310.0,3,False,2013-01
2013-01-04,2013-01-04,338.0,4,False,2013-01
2013-01-05,2013-01-05,654.0,5,True,2013-01
2013-01-06,2013-01-06,979.0,6,True,2013-01
2013-01-07,2013-01-07,541.0,0,False,2013-01
2013-01-08,2013-01-08,434.0,1,False,2013-01
2013-01-09,2013-01-09,593.0,2,False,2013-01
2013-01-10,2013-01-10,700.0,3,False,2013-01
2013-01-11,2013-01-11,726.0,4,False,2013-01
2013-01-12,2013-01-12,631.0,5,True,2013-01
2013-01-13,2013-01-13,679.0,6,True,2013-01
2013-01-14,2013-01-14,683.0,0,False,2013-01
2013-01-15,2013-01-15,547.0,1,False,2013-01
2013-01-16,2013-01-16,265.0,2,False,2013-01
2013-01-17,2013-01-17,4.0,3,False,2013-01
2013-01-18,2013-01-18,60.0,4,False,2013-01
2013-01-19,2013-01-19,667.0,5,True,2013-01
2013-01-20,2013-01-20,1090.0,6,True,2013-01
2013-01-21,2013-01-21,760.0,0,False,2013-01
2013-01-22,2013-01-22,461.0,1,False,2013-01
2013-01-23,2013-01-23,413.0,2,False,2013-01
2013-01-24,2013-01-24,326.0,3,False,2013-01
2013-01-25,2013-01-25,389.0,4,False,2013-01
2013-01-26,2013-01-26,697.0,5,True,2013-01
2013-01-27,2013-01-27,616.0,6,True,2013-01
2013-01-28,2013-01-28,318.0,0,False,2013-01
2013-01-29,2013-01-29,393.0,1,False,2013-01
2013-01-30,2013-01-30,487.0,2,False,2013-01
2013-01-31,2013-01-31,282.0,3,False,2013-01
2013-02-01,2013-02-01,401.0,4,False,2013-02
2013-02-02,2013-02-02,775.0,5,True,2013-02
2013-02-03,2013-02-03,855.0,6,True,2013-02
2013-02-04,2013-02-04,411.0,0,False,2013-02
2013-02-05,2013-02-05,272.0,1,False,2013-02
2013-02-06,2013-02-06,461.0,2,False,2013-02
2013-02-07,2013-02-07,397.0,3,False,2013-02
2013-02-08,2013-02-08,226.0,4,False,2013-02
2013-02-09,2013-02-09,377.0,5,True,2013-02
2013-02-10,2013-02-10,356.0,6,True,2013-02
2013-02-11,2013-02-11,407.0,0,False,2013-02
2013-02-12,2013-02-12,469.0,1,False,2013-02
2013-02-13,2013-02-13,277.0,2,False,2013-02
2013-02-14,2013-02-14,280.0,3,False,2013-02
2013-02-15,2013-02-15,304.0,4,False,2013-02
2013-02-16,2013-02-16,576.0,5,True,2013-02
2013-02-17,2013-02-17,395.0,6,True,2013-02
2013-02-18,2013-02-18,417.0,0,False,2013-02
2013-02-19,2013-02-19,244.0,1,False,2013-02
2013-02-20,2013-02-20,339.0,2,False,2013-02
2013-02-21,2013-02-21,457.0,3,False,2013-02
2013-02-22,2013-02-22,186.0,4,False,2013-02
2013-02-23,2013-02-23,497.0,5,True,2013-02
2013-02-24,2013-02-24,509.0,6,True,2013-02
2013-02-25,2013-02-25,441.0,0,False,2013-02
2013-02-26,2013-02-26,550.0,1,False,2013-02
2013-02-27,2013-02-27,388.0,2,False,2013-02
2013-02-28,2013-02-28,316.0,3,False,2013-02
2013-03-01,2013-03-01,305.0,4,False,2013-03
2013-03-02,2013-03-02,627.0,5,True,2013-03
2013-03-03,2013-03-03,853.0,6,True,2013-03
2013-03-04,2013-03-04,554.0,0,False,2013-03
2013-03-05,2013-03-05,487.0,1,False,2013-03
2013-03-06,2013-03-06,458.0,2,False,2013-03
2013-03-07,2013-03-07,566.0,3,False,2013-03
2013-03-08,2013-03-08,361.0,4,False,2013-03
2013-03-09,2013-03-09,549.0,5,True,2013-03
